"ID","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity"
88,0.125,-8.312,0.629,179857,4,0.287,0.551,140.008,0.117,0.0501,1,0.00303,1,37
89,0.108,-5.867,0.66,211533,4,0.458,0.927,136.247,0.461,0.447,5,5.73e-05,0,60
90,0.356,-10.552,0.329,433520,3,0.189,0.306,170.169,0.739,0.0327,2,1.01e-06,0,68
91,0.0658,-5.425,0.636,198213,3,0.955,0.9,200.014,0.293,0.0535,1,0,1,16
92,0.846,-2.555,0.781,229840,4,0.619,0.98,167.908,0.0236,0.0787,1,0.309,0,68
93,0.321,-4.317,0.71,232800,4,0.875,0.882,99.075,0.00777,0.041,4,0.00771,0,67
94,0.175,-5.114,0.673,167426,4,0.749,0.84,144.184,0.126,0.0381,7,2.99e-06,1,53
95,0.0716,-8.768,0.625,281466,4,0.555,0.54,98.027,0.0562,0.272,1,0,1,70
96,0.0829,-5.881,0.662,169714,4,0.78,0.861,104.034,0.00394,0.0323,11,0.00192,1,83
97,0.0737,-8.308,0.462,575200,4,0.53,0.725,108.37,0.322,0.0339,2,0.0038,1,43
98,0.13,-7.114,0.755,174860,4,0.374,0.625,147.02,0.49,0.0896,2,0,1,87
99,0.185,-3.833,0.416,246818,4,0.677,0.949,145.042,0.313,0.0503,8,4.23e-05,1,55
100,0.0534,-5.066,0.593,198000,4,0.477,0.829,160.012,0.0658,0.0763,7,0.0319,1,42
101,0.146,-6.442,0.669,196400,4,0.65,0.733,116.468,0.0175,0.0286,4,0.00294,0,97
102,0.195,-3.95,0.554,177464,4,0.657,0.907,141.988,0.0292,0.0672,10,0,0,67
103,0.14,-4.754,0.799,280853,4,0.816,0.878,171.687,0.189,0.322,1,0.000105,1,71
104,0.0942,-4.807,0.473,203666,4,0.35,0.892,137.35,0.00187,0.0523,11,1.34e-06,0,59
105,0.76,-6.338,0.539,230693,4,0.752,0.884,100.812,0.382,0.0403,9,0.000376,1,73
106,0.163,-4.882,0.643,180897,4,0.319,0.529,146.067,0.268,0.0495,6,0.00114,0,90
107,0.143,-7.755,0.677,188986,4,0.47,0.792,97.974,0.208,0.248,1,0.000501,0,59
108,0.0811,-7.508,0.676,235093,4,0.913,0.868,115.151,5.62e-06,0.0378,4,0.635,1,59
109,0.833,-1.976,0.468,195389,4,0.698,0.939,176.075,0.00101,0.112,11,9.25e-05,0,51
110,0.119,-7.552,0.489,141583,4,0.946,0.64,66.112,0.817,0.0424,3,2.34e-06,1,39
111,0.0663,-8.227,0.564,183706,4,0.633,0.665,176.405,0.169,0.063,4,0.000218,1,47
112,0.128,-7.711,0.629,356400,4,0.769,0.901,125.148,0.141,0.0526,6,0,1,77
113,0.143,-5.721,0.606,227893,4,0.435,0.758,116.043,0.000289,0.027,5,0.11,0,49
114,0.162,-4.296,0.612,152000,4,0.832,0.63,149.989,0.13,0.395,1,0,1,90
115,0.122,-12.751,0.684,202500,4,0.799,0.33,119.992,0.757,0.0331,6,0,1,54
116,0.122,-9.594,0.62,201683,4,0.117,0.374,109.829,0.968,0.026,1,8.41e-05,1,60
117,0.282,-7.064,0.585,159645,4,0.654,0.7,103.78,0.534,0.0399,8,1.03e-05,0,35
118,0.308,-3.145,0.761,215917,4,0.786,0.701,99.982,0.172,0.0559,5,0.00398,0,60
119,0.424,-7.716,0.782,146484,4,0.642,0.591,169.985,0.0275,0.039,9,0.000813,0,23
120,0.155,-4.987,0.53,204013,4,0.33,0.714,175.924,0.0438,0.129,7,0,0,79
121,0.109,-6.546,0.524,358426,4,0.524,0.841,95.036,0.0415,0.0442,9,0,1,32
122,0.0965,-7.979,0.858,225199,4,0.543,0.615,98.056,0.00127,0.0516,5,0,0,91
123,0.0878,-6.924,0.749,234373,4,0.798,0.637,99.951,0.479,0.0764,7,0,1,68
124,0.181,-11.169,0.604,180999,4,0.518,0.622,136.543,0.169,0.0389,1,0,1,69
125,0.124,-9.155,0.805,278655,4,0.173,0.385,136.049,0.284,0.239,0,2.33e-06,1,57
126,0.0912,-7.906,0.575,199226,4,0.523,0.617,123.222,0.0558,0.0439,1,0,1,92
127,0.0993,-8.591,0.674,210666,4,0.397,0.439,167.908,0.077,0.115,10,1.93e-05,1,28
128,0.105,-9.428,0.528,266997,4,0.489,0.381,143.01,0.768,0.0321,10,0.000171,1,63
129,0.122,-9.275,0.669,180005,4,0.176,0.457,120.045,0.815,0.0549,2,0.00139,1,66
130,0.116,-4.084,0.507,247504,4,0.336,0.951,128.015,0.00731,0.141,6,0,1,34
131,0.301,-9.655,0.651,260666,4,0.287,0.261,104.116,0.779,0.0266,1,0,0,40
132,0.0736,-4.068,0.638,188138,4,0.305,0.807,79.942,0.173,0.066,9,0,1,8
133,0.59,-7.093,0.504,230333,4,0.505,0.801,126.535,0.000527,0.0574,11,0.041,0,28
134,0.0971,-6.41,0.481,293213,4,0.585,0.922,170.616,0.0238,0.064,3,0.00185,1,57
135,0.0748,-10.19,0.64,203417,4,0.288,0.667,122.994,0.000211,0.0511,11,0.899,0,58
136,0.353,-7.811,0.6,179640,4,0.33,0.734,128.038,0.0116,0.163,7,2e-06,1,46
137,0.124,-2.451,0.729,207400,4,0.384,0.771,125.011,0.00761,0.255,4,0,1,69
138,0.338,-3.883,0.408,272665,4,0.291,0.953,177.94,0.00532,0.226,7,0,1,1
139,0.331,-5.77,0.666,203480,4,0.734,0.876,197.952,0.0647,0.216,0,0,0,9
140,0.0707,-5.48,0.59,178131,4,0.4,0.678,126.061,0.0259,0.145,7,2.2e-05,1,71
141,0.57,-4.408,0.714,135920,4,0.565,0.566,113.074,0.142,0.056,9,1.25e-06,1,74
142,0.635,-5.78,0.372,184950,4,0.372,0.727,104.795,0.0563,0.0442,1,0,1,51
143,0.0568,-8.329,0.876,182224,4,0.514,0.586,91.998,0.149,0.0405,10,0,0,53
144,0.105,-9.674,0.698,160000,4,0.824,0.661,131.808,0.636,0.0416,9,0,1,58
145,0.446,-10.49,0.605,250001,4,0.779,0.335,141.839,0.704,0.0844,4,0,1,76
146,0.141,-9.096,0.791,376600,4,0.901,0.79,149.441,0.00255,0.115,2,0.000249,1,37
147,0.0742,-9.539,0.845,267152,4,0.694,0.819,111.677,0.0447,0.0567,1,0.343,1,54
148,0.106,-4.152,0.604,165480,4,0.561,0.85,150.092,0.00141,0.0488,2,0,1,1
149,0.138,-4.909,0.657,210221,4,0.311,0.861,121.983,0.0655,0.155,0,0,1,59
150,0.113,-6.237,0.438,240800,4,0.564,0.815,172.202,0.228,0.0624,0,0.00136,1,78
151,0.0841,-8.332,0.679,283297,3,0.856,0.519,80.241,0.000473,0.103,8,2.57e-05,1,8
152,0.102,-9.343,0.554,217633,4,0.281,0.615,100.017,0.0632,0.0439,9,1.43e-05,1,73
153,0.101,-9.381,0.502,246000,4,0.16,0.233,129.759,0.773,0.0318,0,1.4e-06,1,63
154,0.325,-6.381,0.607,187105,4,0.534,0.373,98.035,0.259,0.0558,10,0,1,72
155,0.364,-3.179,0.363,212120,4,0.402,0.915,147.233,0.012,0.0992,11,0.0814,1,46
156,0.11,-7.113,0.493,195676,4,0.622,0.445,81.581,0.907,0.0364,7,2.67e-06,1,47
157,0.0819,-3.585,0.489,207982,4,0.352,0.923,122.998,0.00113,0.0475,9,8.35e-05,0,37
158,0.122,-6.702,0.845,200265,4,0.721,0.668,101.674,0.2,0.0447,1,0,1,78
159,0.125,-7.702,0.805,268333,4,0.545,0.496,126.104,0.369,0.0595,8,0,1,50
160,0.132,-8.838,0.867,199426,4,0.327,0.211,112.982,0.911,0.0466,0,0.0355,1,65
161,0.138,-8.865,0.586,225611,4,0.556,0.603,181.89,0.0155,0.0402,4,4.19e-05,0,51
162,0.128,-6.784,0.429,206222,4,0.594,0.564,145.972,0.0193,0.0268,11,0.000828,0,72
163,0.0992,-4.566,0.575,215151,4,0.674,0.732,130.04,0.266,0.283,11,0,0,83
164,0.33,-4.231,0.736,226226,4,0.442,0.823,124.954,0.0873,0.283,1,0.000914,1,54
165,0.109,-6.127,0.331,205160,3,0.357,0.592,90.703,0.0824,0.0371,1,0,1,71
166,0.0494,-6.913,0.651,200676,4,0.425,0.711,125.089,0.111,0.0378,3,0.000105,0,60
167,0.0545,-7.666,0.923,91750,4,0.849,0.498,139.032,0.389,0.069,11,0,0,46
168,0.0856,-6.757,0.616,263826,4,0.184,0.653,120.002,0.082,0.0402,5,6.14e-06,1,76
169,0.158,-3.145,0.647,197494,4,0.942,0.8,154.259,0.0109,0.36,7,0,0,62
170,0.111,-5.531,0.639,178456,4,0.318,0.685,124.012,0.282,0.0277,4,1.45e-06,1,58
171,0.111,-7.055,0.621,265371,4,0.517,0.699,177.797,0.148,0.542,10,5.63e-06,0,17
172,0.0753,-16.254,0.409,195906,4,0.303,0.309,110.643,0.781,0.0384,6,0.00222,0,57
173,0.111,-14.31,0.573,129360,4,0.256,0.304,102.686,0.332,0.0316,10,0.739,1,1
174,0.121,-4.141,0.67,130293,4,0.285,0.724,129.452,0.577,0.361,11,0,1,69
175,0.0714,-7.619,0.667,222641,4,0.0758,0.789,104.845,0.0322,0.0362,1,0.784,1,57
176,0.115,-6.626,0.47,202346,3,0.242,0.714,94.082,0.395,0.0328,7,0,1,65
177,0.129,-9.653,0.685,223503,4,0.214,0.316,99.888,0.303,0.0438,5,0.000119,1,49
178,0.224,-7.42,0.608,247480,4,0.835,0.727,127.172,0.0245,0.0709,3,3.86e-06,1,40
179,0.0991,-6.273,0.61,241607,4,0.42,0.785,100.736,0.188,0.0347,9,0.000646,1,61
180,0.308,-7.734,0.802,60000,4,0.621,0.564,180.049,0.00295,0.111,11,0.536,0,0
181,0.09,-8.339,0.589,224287,4,0.0608,0.321,103.193,0.00552,0.0355,1,0.225,1,48
182,0.282,-6.371,0.967,195720,4,0.964,0.583,86.739,0.536,0.0375,7,0,1,77
183,0.218,-4.499,0.822,241933,4,0.709,0.753,118.982,0.0337,0.0332,10,1.76e-05,0,68
184,0.183,-4.568,0.86,152984,4,0.321,0.66,93.967,0.573,0.208,1,0.00471,1,58
185,0.0957,-3.837,0.694,248519,4,0.359,0.902,100.022,0.0063,0.0274,2,0,1,55
186,0.0967,-11.923,0.584,188093,4,0.657,0.525,102.174,0.877,0.0686,3,2.65e-06,1,15
187,0.184,-6.061,0.757,281560,4,0.591,0.445,78.998,0.474,0.0945,2,0,1,86
188,0.12,-6.71,0.724,210986,4,0.0608,0.576,89.982,0.0116,0.0483,10,1.33e-05,0,47
189,0.0734,-7.762,0.876,208484,4,0.592,0.557,126.342,0.0357,0.0738,2,3.93e-05,1,64
190,0.0695,-11.889,0.543,279973,4,0.096,0.689,131.717,0.000416,0.152,1,0.823,0,51
191,0.091,-9.731,0.699,146666,4,0.484,0.583,109.001,0.0354,0.0329,6,0,0,68
192,0.128,-4.437,0.539,301706,4,0.627,0.909,115.977,0.00011,0.0342,8,0.03,1,59
193,0.115,-4.666,0.822,204150,4,0.296,0.87,152.914,0.0142,0.169,0,0.0107,1,81
194,0.276,-8.473,0.672,139293,4,0.71,0.655,192.147,0.233,0.113,4,0.255,1,59
195,0.208,-4.331,0.591,279346,4,0.544,0.755,101.258,0.323,0.0422,5,0.0036,0,66
196,0.121,-7.124,0.456,205757,4,0.282,0.893,121.352,0.00119,0.0412,7,9.81e-05,1,3
197,0.29,-5.766,0.963,233297,4,0.503,0.677,102.482,2.23e-05,0.114,0,0.000103,1,61
198,0.077,-4.277,0.815,304786,4,0.763,0.761,130.007,0.000333,0.0354,1,0,1,45
199,0.34,-7.301,0.561,228093,4,0.52,0.916,122.571,2.45e-05,0.0309,0,0.872,1,3
200,0.358,-9.829,0.631,185491,5,0.0611,0.67,144.983,0.0223,0.208,3,0.000131,1,67
201,0.22,-4.303,0.442,185186,4,0.962,0.836,133.521,0.608,0.0541,6,0.00075,0,32
202,0.166,-8.999,0.799,245681,4,0.534,0.373,117.99,0.259,0.0558,7,0,1,72
203,0.0705,-7.108,0.61,230408,4,0.864,0.507,75.422,0.707,0.129,10,0.000174,0,79
204,0.243,-11.291,0.699,291178,4,0.813,0.698,107.15,0.315,0.0345,5,0,1,3
205,0.269,-6.876,0.526,250285,4,0.376,0.804,140.078,0.033,0.05,5,0.651,1,22
206,0.356,-9.163,0.445,186463,4,0.159,0.357,147.062,0.153,0.25,9,0,1,72
207,0.346,-3.144,0.62,159462,4,0.213,0.657,127.858,0.0757,0.0778,0,0.000149,0,63
208,0.099,-6.35,0.818,197253,4,0.174,0.54,97.064,0.0143,0.0544,6,2.07e-06,0,94
209,0.133,-4.78,0.579,262450,4,0.55,0.914,175.152,0.0464,0.0402,1,0,1,46
210,0.203,-5.931,0.607,238160,4,0.567,0.629,145.028,0.405,0.145,11,0,1,72
211,0.106,-2.416,0.604,200624,4,0.225,0.796,150.005,0.0126,0.0597,1,0,0,58
212,0.13,-5.931,0.902,220213,4,0.762,0.522,119.992,0.206,0.0501,9,7.96e-06,0,42
213,0.324,-3.989,0.722,200170,4,0.79,0.88,114.057,0.21,0.24,8,3.28e-05,0,64
214,0.0454,-7.26,0.716,189334,4,0.768,0.869,113.027,0.0294,0.0694,8,0,1,38
215,0.417,-8.444,0.955,158769,4,0.904,0.492,130.062,0.0987,0.172,8,0,1,0
216,0.0868,-7.034,0.849,207430,4,0.5,0.681,126.072,0.0327,0.363,1,0,1,0
217,0.257,-5.244,0.78,158062,4,0.577,0.787,122.058,0.112,0.102,8,0,1,70
218,0.0711,-6.916,0.684,170434,4,0.914,0.819,119.993,0.0133,0.0412,4,5.46e-05,0,2
219,0.108,-14.244,0.763,160893,4,0.715,0.364,137.132,0.556,0.0559,4,2.02e-05,1,53
220,0.0575,-13.598,0.346,299000,4,0.439,0.572,159.991,0.487,0.118,9,0,0,42
221,0.125,-2.744,0.521,225760,4,0.707,0.921,126.748,0.026,0.0382,5,0.0207,1,14
222,0.105,-11.036,0.655,271094,4,0.436,0.203,150.407,0.919,0.0467,5,0,1,49
223,0.0734,-15.46,0.703,155266,4,0.937,0.49,86.928,0.255,0.0357,7,0.792,1,53
224,0.0891,-6.074,0.679,188026,4,0.575,0.83,99.983,0.266,0.0493,2,0.761,1,63
225,0.068,-19.16,0.412,163533,4,0.0735,0.296,104.238,0.904,0.0365,5,0.135,1,47
226,0.0659,-5.069,0.693,257826,3,0.526,0.624,113.999,0.441,0.0855,11,0,0,44
227,0.101,-9.173,0.788,151990,4,0.881,0.469,120.013,0.74,0.0347,0,0,1,43
228,0.102,-9.484,0.563,273437,4,0.369,0.31,72.988,0.854,0.0343,2,0,1,62
229,0.295,-11.155,0.335,265108,4,0.399,0.314,122.446,0.535,0.0411,8,0.00517,1,70
230,0.23,-6.211,0.813,174357,4,0.9,0.869,129.935,0.365,0.133,7,0,1,45
231,0.132,-2.82,0.641,208400,4,0.723,0.914,176.079,0.0799,0.05,10,0,0,27
232,0.148,-8.131,0.42,181913,3,0.213,0.289,104.851,0.645,0.0348,0,0,1,79
233,0.14,-7.242,0.808,259853,4,0.386,0.586,124.041,0.13,0.169,10,0,0,72
234,0.114,-9.169,0.591,244333,4,0.284,0.505,140.018,0.0645,0.0275,5,5.02e-06,1,33
235,0.0893,-12.263,0.643,217652,4,0.571,0.626,109.989,0.466,0.106,7,1.31e-05,1,74
236,0.709,-5.182,0.575,330986,4,0.608,0.886,111.982,0.0647,0.034,5,0.000187,1,68
237,0.0593,-9.705,0.231,229928,4,0.277,0.465,80.027,0.482,0.0373,6,0.000877,0,51
238,0.327,-1.339,0.638,192333,4,0.319,0.937,100.03,0.0942,0.0444,0,0,1,51
239,0.135,-21.529,0.44,109882,4,0.489,0.138,77.377,0.712,0.0388,1,0.738,1,43
240,0.395,-4.976,0.892,192453,4,0.954,0.797,98.022,0.0965,0.0554,10,0.0256,0,38
241,0.14,-5.416,0.593,218706,4,0.428,0.697,150.057,0.00289,0.194,7,0.0257,1,63
242,0.156,-12.379,0.813,189750,4,0.112,0.273,123.77,0.143,0.0547,1,0.0269,1,39
243,0.551,-5.61,0.503,157432,4,0.712,0.926,155.115,0.00314,0.0452,1,0,1,1
244,0.112,-4.89,0.611,148459,4,0.268,0.602,168.154,0.628,0.0437,5,6e-05,1,83
245,0.299,-2.188,0.743,194184,4,0.884,0.87,141.029,0.0595,0.212,1,0,1,88
246,0.202,-7.162,0.374,319940,4,0.365,0.888,155.964,0.0762,0.12,8,0,1,62
247,0.117,-4.242,0.483,195428,4,0.284,0.862,84.994,0.0164,0.0882,1,0,1,50
248,0.123,-20.824,0.348,237226,1,0.138,0.0834,170.389,0.849,0.0299,5,6.12e-06,1,37
249,0.252,-10.018,0.741,190933,4,0.783,0.678,91.995,0.451,0.0491,5,0,1,57
250,0.111,-7.788,0.694,250173,4,0.352,0.574,100.021,0.106,0.0479,5,0,0,86
251,0.109,-6.248,0.833,268400,4,0.839,0.871,137.028,0.0406,0.356,5,0,1,32
252,0.155,-3.928,0.722,263293,5,0.31,0.867,125.033,0.014,0.0772,0,0.000231,1,51
253,0.218,-4.366,0.501,251120,4,0.35,0.9,160.096,0.0586,0.0433,11,0,0,54
254,0.0578,-5.582,0.47,111967,4,0.515,0.917,121.117,0.0164,0.134,0,8.41e-05,1,48
255,0.119,-7.77,0.699,174576,4,0.657,0.586,96.042,0.264,0.406,8,0,1,71
256,0.0718,-5.593,0.82,158053,4,0.486,0.501,89.931,0.541,0.0466,7,0,1,66
257,0.139,-2.879,0.788,204160,4,0.788,0.963,129.992,0.0542,0.0981,11,2.24e-05,0,75
258,0.335,-6.941,0.88,200234,4,0.718,0.726,161.003,0.127,0.253,10,7.35e-05,0,14
259,0.112,-8.676,0.575,280400,4,0.187,0.637,119.997,0.15,0.0395,4,0.885,1,47
260,0.112,-8.134,0.528,220880,4,0.413,0.546,140.005,0.59,0.106,8,0,1,37
261,0.0623,-9.113,0.544,217981,3,0.322,0.138,199.756,0.978,0.0412,7,0,0,30
262,0.0768,-6.05,0.705,209110,4,0.432,0.672,160.968,0.0215,0.33,9,6.92e-05,0,72
263,0.064,-12.005,0.58,349693,4,0.781,0.622,169.442,0.0192,0.0352,5,6.73e-05,1,63
264,0.0859,-23.435,0.466,216373,4,0.14,0.0758,79.505,0.649,0.0296,7,0.915,1,40
265,0.077,-6.519,0.697,208485,4,0.331,0.521,91.998,0.243,0.031,5,0,1,75
266,0.116,-10.882,0.807,298195,4,0.614,0.443,97.994,0.715,0.1,11,0.114,0,21
267,0.0838,-5.039,0.594,197520,4,0.673,0.696,97.112,0.0796,0.266,8,0.00104,1,16
268,0.396,-4.085,0.586,200867,4,0.495,0.663,114.988,0.202,0.0381,6,0,0,34
